类别编码,图标,类别,Url
1,🧬,计算机体系结构/并行与分布计算/存储系统,https://www.ccf.org.cn/Academic_Evaluation/ARCH_DCP_SS/
2,🖧,计算机网络,https://www.ccf.org.cn/Academic_Evaluation/CN//
3,🛡️,网络与信息安全,https://www.ccf.org.cn/Academic_Evaluation/NIS/
4,💽,软件工程/系统软件/程序设计语言,https://www.ccf.org.cn/Academic_Evaluation/TCSE_SS_PDL/
5,🗃️,数据库/数据挖掘/内容检索,https://www.ccf.org.cn/Academic_Evaluation/DM_CS/
6,🔬,计算机科学理论,https://www.ccf.org.cn/Academic_Evaluation/TCS/
7,🖼️,计算机图形学与多媒体,https://www.ccf.org.cn/Academic_Evaluation/CGAndMT/
8,🦾,人工智能,https://www.ccf.org.cn/Academic_Evaluation/AI/
9,💻,人机交互与普适计算,https://www.ccf.org.cn/Academic_Evaluation/HCIAndPC/
10,📻,交叉/综合/新兴,https://www.ccf.org.cn/Academic_Evaluation/Cross_Compre_Emerging/

